Against,Home_Away,PrevRuns,Runs,Balls,StrikeRate,Innings,Pitch Type,Year,
West Indies,Away,0,9,12,75,1,batter-friendly,2019,
West Indies,Away,9,51,113,45.13,3,batter-friendly,2019,
West Indies,Away,0,76,163,46.62,1,bowler-friendly,2019,
West Indies,Away,76,0,3,46.62,3,bowler-friendly,2019,
South Africa,Home,0,20,40,50,1,batter-friendly,2019,
South Africa,Home,20,31,25,124,3,batter-friendly,2019,
South Africa,Home,0,254,336,75.59,1,batter-friendly,2019,
South Africa,Home,0,12,22,54.54,1,both,2019,
Bangladesh,Home,0,0,2,0,2,batter-friendly,2019,
Bangladesh,Home,0,136,194,70.1,2,batter-friendly,2019,
New Zealand,Away,0,2,7,28.57,1,batter-friendly,2020,
New Zealand,Away,2,19,43,44.18,3,batter-friendly,2020,
New Zealand,Away,0,3,15,20,1,batter-friendly,2020,
New Zealand,Away,3,14,30,46.66,3,batter-friendly,2020,
New Zealand,Away,0,74,180,41.11,1,batter-friendly,2020,
New Zealand,Away,74,4,8,50,3,batter-friendly,2020,
England,Home,0,11,48,22.91,2,both,2021,
England,Home,11,72,104,69.23,4,both,2021,
England,Home,0,0,5,0,1,both,2021,
England,Home,0,62,149,41.61,3,both,2021,
England,Home,0,27,46.55,46.55,2,batter-friendly,2021,
England,Home,0,0,8,0,2,batter-friendly,2021,
New Zealand,Away,0,11,48,22.91,1,batter-friendly,2021,
New Zealand,Away,11,72,104,69.23,3,batter-friendly,2021,
England,Away,0,0,1,0,1,batter-friendly,2021,
England,Away,0,42,103,40.77,1,both,2021,
England,Away,42,20,31,64.51,3,both,2021,
England,Away,0,7,17,41.17,1,both,2021,
England,Away,7,55,125,44,3,both,2021,
England,Away,0,50,96,52.08,1,batter-friendly,2021,
England,Away,50,44,96,45.83,3,batter-friendly,2021,
New Zealand,Home,0,0,4,0,1,batter-friendly,2021,
New Zealand,Home,0,36,84,42.85,3,batter-friendly,2021,
South Africa,Away,0,35,94,37.23,1,batter-friendly,2021,
South Africa,Away,35,18,32,56.25,3,batter-friendly,2021,
South Africa,Away,0,79,201,39.3,1,batter-friendly,2022,
South Africa,Home,79,29,143,20.27,3,batter-friendly,2022,
Sri Lanka,Home,0,45,76,59.21,1,batter-friendly,2022,
Sri Lanka,Home,45,23,48,47.91,1,batter-friendly,2022,
Sri Lanka,Away,0,13,16,81.25,3,batter-friendly,2022,
England,Away,0,11,19,57.89,1,batter-friendly,2022,
England,Away,11,20,40,50,3,batter-friendly,2022,
Bangladesh,Away,0,1,5,20,1,bowler-friendly,2022,
Bangladesh,Away,1,19,29,65.51,3,bowler-friendly,2022,
Bangladesh,Away,0,24,73,32.87,2,bowler-friendly,2022,
Bangladesh,Away,24,1,22,4.54,4,bowler-friendly,2022,
Australia,Home,0,12,26,46.15,2,batter-friendly,2023,
Australia,Home,0,44,84,52.38,2,batter-friendly,2023,
Australia,Home,44,20,31,64.51,4,batter-friendly,2023,
Australia,Home,0,22,52,42.3,1,batter-friendly,2023,
Australia,Home,22,13,35,50,3,batter-friendly,2023,
Australia,Home,0,186,364,51.09,2,batter-friendly,2023,
Australia,Away,0,14,31,45.16,2,batter-friendly,2023,
Australia,Away,0,49,78,62.82,4,batter-friendly,2023,
West Indies,Away,0,76,182,41.75,2,batter-friendly,2023,
West Indies,Away,0,121,206,58.73,1,bowler-friendly,2023,
South Africa,Away,0,38,64,59.37,1,batter-friendly,2023,
South Africa,Away,38,76,82,92.68,3,batter-friendly,2023,
South Africa,Away,0,46,59,77.96,2,batter-friendly,2024,
South Africa,Away,46,12,11,109.09,4,batter-friendly,2024,
Bangladesh,Home,0,6,6,100,1,both,2024,
Bangladesh,Home,6,17,37,45.94,3,both,2024,
Bangladesh,Home,0,47,35,134.28,2,batter-friendly,2024,
Bangladesh,Home,47,29,37,78.37,4,batter-friendly,2024,
New Zealand,Home,0,0,9,0,1,batter-friendly,2024,
New Zealand,Home,0,70,102,68.62,3,batter-friendly,2024,
New Zealand,Home,0,1,9,11.11,2,batter-friendly,2024,
New Zealand,Home,1,17,40,42.5,4,batter-friendly,2024,
New Zealand,Home,0,4,6,66.66,2,batter-friendly,2024,
New Zealand,Home,4,1,7,14.28,4,batter-friendly,2024,
Australia,Away,0,5,12,41.66,1,both,2024,
Australia,Away,5,100,143,69.93,3,both,2024,
Australia,Away,0,7,8,87.5,1,batter-friendly,2024,
Australia,Away,7,11,21,`,3,batter-friendly,2024,
Australia,Away,0,3,16,18.75,2,bowler-friendly,2024,
Australia,Away,0,36,86,41.86,2,both,2024,
Australia,Away,36,5,29,17.24,4,both,2024,
Australia,Away,0,17,69,24.63,1,bowler-friendly,2025,
Australia,Away,17,6,12,50,3,bowler-friendly,2025,
